COW_type,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mandated to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,18,24,23,23,23,23,23,23,23,23,23,22,22,22,21,21,21,21,20,19,19,18,18,19,17,16,16,15,16,16,16,15,15,14,14,12,12,12,12,9,7,5,5,5,5,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Unknown,583,582,581,576,571,567,558,555,552,548,548,544,543,541,540,538,537,533,529,527,526,523,521,518,515,510,509,501,494,490,487,484,482,473,469,468,467,464,459,455,449,436,431,425,421,416,414,412,412,412,411,411,405,403,402,402,397,396,394,387,385,383,381,372,372,368,364,360,359,344,319,311,304,289,278,226,216,204,195,190,173,169,160,152,146,137,131,121,115,113,110,107,106,105,103,97,97,94,93,90,90,90,90,86,80,74,73,71,67,67,66,66,65,65,64,64,60,59,57,57,54,54,34,34,31,30,30,29,29,29,27,27,21,19,16,16,16,15,15,13,11,11,11,11,10,10,10,8,8,8,8,8,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Became part of,338,345,376,394,394,418,405,418,411,416,426,427,433,431,435,433,434,441,439,440,443,442,447,448,443,448,451,452,451,463,462,469,478,476,476,477,480,477,482,487,491,484,489,500,502,517,505,505,503,515,510,535,527,529,530,556,543,546,552,551,555,558,568,563,563,566,575,568,575,593,596,604,606,615,665,671,678,684,688,727,724,723,738,738,738,744,748,760,759,764,763,767,768,769,793,781,783,785,788,782,785,784,793,763,774,766,772,773,770,772,773,773,778,776,777,778,780,781,782,782,784,783,780,783,787,778,768,766,770,797,767,772,755,767,756,757,760,765,768,769,782,766,785,723,733,719,736,725,727,726,724,754,750,759,757,766,767,767,767,777,764,764,762,770,768,772,772,771,771,773,771,767,767,766,772,750,711,699,701,697,696,697,697,697,697,697,697,696,696,696,696,695,695,694,694,694,694,694,694,694,694
Became associated state of,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,6,6,6,6,5,5,5,5,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sovereign,37,37,39,40,40,42,43,44,44,45,45,45,46,46,50,51,50,50,50,50,52,51,54,57,56,58,58,58,59,59,58,60,59,59,59,59,60,60,61,62,63,63,63,63,63,65,58,58,58,59,59,59,59,59,59,60,52,52,52,52,52,52,55,55,55,55,55,55,55,55,55,54,53,52,52,51,51,51,51,52,52,52,52,52,52,51,52,52,52,53,52,52,52,52,52,53,54,53,53,53,52,52,65,67,71,67,68,69,70,69,69,69,69,69,69,69,70,70,71,71,71,70,70,69,66,58,56,55,62,67,69,71,76,78,78,79,80,82,85,87,90,92,93,92,110,114,121,123,126,129,133,134,138,138,140,145,145,146,148,156,155,156,158,161,161,164,164,165,166,166,166,166,166,166,170,181,185,189,189,189,189,189,189,190,191,191,192,192,192,192,193,193,194,194,194,195,195,195,195,195,195
Autonomous constituent country of,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
Sovereign (unrecognised),15,15,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,17,18,18,19,19,19,18,18,19,18,18,18,19,19,19,19,18,18,18,18,18,19,16,16,15,15,14,14,12,12,13,13,13,13,13,13,12,12,13,13,12,12,12,12,13,14,13,12,10,10,10,10,10,9,8,7,7,6,6,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2,2,3,3,4,4,4,4,4,4,4,4,4,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Became protectorate of,9,9,9,10,12,12,12,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,13,14,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,18,19,19,19,19,18,19,19,20,20,21,21,21,20,19,18,20,22,24,30,31,33,36,83,86,92,92,93,98,101,101,101,104,104,103,101,102,101,101,99,101,101,105,105,104,107,107,108,106,106,104,104,105,105,102,101,100,99,99,100,100,100,100,100,100,100,100,100,98,98,121,121,121,121,120,118,112,112,114,114,121,115,68,66,66,65,64,64,64,65,62,60,59,58,58,56,55,50,49,46,45,23,23,17,16,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Became neutral or demilitarized zone of,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,7,7,7,7,6,6,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,10,11,11,10,10,10,10,10,12,12,12,12,13,13,13,12,12,11,14,9,9,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Became colony of,90,92,92,92,88,88,80,79,79,80,78,78,79,77,76,78,76,78,77,76,77,77,77,77,79,81,79,83,83,83,79,81,80,81,81,82,83,85,85,84,85,84,86,88,89,90,90,89,89,89,88,85,82,82,82,84,80,80,83,84,84,84,84,82,84,86,89,86,92,98,101,103,105,107,106,106,106,108,110,114,116,113,118,118,119,121,117,119,117,119,121,120,120,120,123,120,119,118,119,109,109,107,106,108,110,107,108,110,110,113,111,110,111,109,110,110,110,109,111,111,112,109,109,109,109,110,106,97,98,114,114,102,101,103,99,100,100,99,95,90,94,92,94,87,87,68,75,71,68,67,65,62,56,54,52,51,51,51,51,52,44,43,42,43,43,41,40,40,40,40,40,40,40,40,40,39,39,39,39,39,39,39,38,38,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Claimed by,9,9,9,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,9,9,9,9,9,9,10,10,10,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,16,17,16,16,16,16,16,16,16,16,16,16,19,19,19,17,17,17,17,17,17,15,15,16,16,17,17,17,17,17,17,19,20,20,21,21,22,22,21,21,21,24,24,24,24,24,26,24,23,22,22,22,22,24,24,23,23,23,22,22,22,22,22,22,22,22,22,22,21,21,21,21,16,16,12,12,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Occupied by,10,5,10,7,7,7,8,9,9,9,9,8,10,10,11,10,12,13,13,11,11,11,13,15,14,11,8,8,8,8,8,6,8,6,6,6,4,6,9,8,8,9,7,7,8,10,9,10,10,13,12,11,10,10,11,15,15,20,19,13,13,11,14,14,16,16,16,16,15,16,17,19,18,18,22,24,23,28,27,23,14,15,17,17,19,19,18,16,16,17,17,15,11,8,8,9,14,13,23,27,34,35,48,46,42,30,24,19,9,7,5,6,6,6,6,5,6,5,4,3,5,9,10,19,28,49,71,79,74,88,38,33,27,25,19,16,15,14,16,14,15,13,12,12,12,13,13,13,12,14,14,19,18,14,12,12,12,11,13,15,15,15,15,17,15,15,15,16,16,16,15,15,16,17,15,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Leased to,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,3,3,7,7,7,7,7,9,9,10,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,13,14,15,15,14,15,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Became possession of,27,27,27,30,30,31,32,32,32,33,31,29,28,28,28,28,28,28,23,23,23,23,23,25,26,26,26,30,30,30,31,31,31,31,30,30,30,30,32,32,32,35,37,36,35,34,35,35,35,35,35,35,35,36,34,34,31,31,31,31,31,31,33,32,31,31,31,30,30,29,29,29,35,35,35,35,36,37,37,36,35,37,36,36,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,35,35,43,41,41,43,42,42,42,42,43,43,44,44,47,47,47,46,49,49,49,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,51,48,48,48,47,48,48,48,48,48,48,45,46,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,44,44,44,44,44,45,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
Sovereign (limited),28,28,28,28,28,28,28,28,28,28,29,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,26,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,23,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
