source_filename,nb_flows
AbstractOfReportsOfTradeOfVariousCountries,52
AnnalesDuCommerceExterieurCommerceEtNavigationDesPrincipauxPaysEtrangers_1903A19111912,80
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Abyssinie_Fc3,12
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Algerie_Fc1,32
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc10,2
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc13,18
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc14,6
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc4,26
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc7,2
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc8,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AmeriqueCentrale_Fc9,4
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc1,104
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc10,68
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc11,53
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc12,46
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc17,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc19,18
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc31,32
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc32,33
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc35,142
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc4,98
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc5,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc6,26
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AssociationAllemande_Fc9,102
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AustralieEtOceanie_Fc1,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_AustralieEtOceanie_Fc3,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc10,80
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc13,21
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc17,58
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc18,88
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc19,42
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc3,195
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc5,116
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc6,54
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc7,53
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Autriche_Fc8,28
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_BolivieEquateurPerou_Fc1,4
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_BolivieEquateurPerou_Fc2,20
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_BolivieEquateurPerou_Fc3,18
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_BolivieEquateurPerou_Fc4,56
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_BolivieEquateurPerou_Fc6,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc1,245
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc10,51
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc11,26
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc12,19
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc13,49
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc15,248
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc16,176
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc17,54
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc18,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc19,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc2,34
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc20,110
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc21,33
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc4,2
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc5,100
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc6,23
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Bresil_Fc7,189
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ChiliParaguayPlataUruguay_Fc3,16
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ChiliParaguayPlataUruguay_Fc4,11
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ChiliParaguayPlataUruguay_Fc6,12
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Chine_Fc1,138
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Chine_Fc14,18
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Chine_Fc33,8
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Chine_Fc35,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Chine_Fc36,5
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Chine_Fc38,15
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Chine_Fc8,80
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Chine_Fc9,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Colombie_Fc13,6
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc1,82
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc11,20
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc12,2
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc13,68
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc15,16
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc16,96
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc17,152
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc18,48
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc3,32
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc4,2
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc6,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDafrique_Fc7,36
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDamerique_Fc15,16
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDamerique_Fc16,42
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDamerique_Fc17,28
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ColoniesAnglaisesDamerique_Fc18,4
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_CotesDafrique_Fc12,38
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_CotesDafrique_Fc14,60
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_CotesDafrique_Fc7,8
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Danemark_Fc11,30
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Danemark_Fc13,70
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Danemark_Fc15,5
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Danemark_Fc18,7
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Danemark_Fc23,38
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Danemark_Fc24,208
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Danemark_Fc6,32
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Danemark_Fc8,106
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte,1
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc1,38
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc10,33
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc13,66
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc15,27
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc16,4
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc17,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc19,6
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc3,38
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc4,19
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc5,3
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc7,59
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc8,3
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Egypte_Fc9,25
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EmpireDallemagne_Fc36,17
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EmpireDallemagne_Fc37,34
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Espagne_Fc2,66
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Espagne_Fc24,46
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Espagne_Fc27,98
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsBarbaresques_Fc1,182
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsBarbaresques_Fc11,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsBarbaresques_Fc13,40
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsBarbaresques_Fc14,40
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsBarbaresques_Fc18,20
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsBarbaresques_Fc5,58
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsBarbaresques_Fc7,60
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsunisDeColombie_Fc12,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsunisDeColombie_Fc13,28
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_EtatsunisDeColombie_Fc14,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Gibraltar_Fc2,17
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc1,45
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc11,20
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc12,31
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc13,94
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc14,215
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc15,222
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc16,34
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc2,40
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc3,6
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc4,6
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc6,9
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc7,9
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Grece_Fc9,2
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Haiti_Fc1,34
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Haiti_Fc4,106
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Haiti_Fc5,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Haiti_Fc6,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Haiti_Fc7,27
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Haiti_Fc8,21
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IlesIoniennes_Fc1,68
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IlesIoniennes_Fc10,16
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IlesIoniennes_Fc11,40
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IlesIoniennes_Fc2,16
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IlesIoniennes_Fc7,30
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IlesIoniennes_Fc9,20
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesAnglaisesEtPossessionsBritanniquesDeLameriqueDuNord_Fc11,8
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesAnglaisesEtPossessionsBritanniquesDeLameriqueDuNord_Fc13,7
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesAnglaisesEtPossessionsBritanniquesDeLameriqueDuNord_Fc14,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesAnglaisesEtPossessionsBritanniquesDeLameriqueDuNord_Fc3,8
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesAnglaisesEtPossessionsBritanniquesDeLameriqueDuNord_Fc4,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesAnglaisesEtPossessionsBritanniquesDeLameriqueDuNord_Fc6,20
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesAnglaisesEtPossessionsBritanniquesDeLameriqueDuNord_Fc7,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesAnglaisesEtPossessionsBritanniquesDeLameriqueDuNord_Fc9,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc1,12
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc10,46
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc11,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc12,42
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc13,54
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc14,24
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc15,48
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc16,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc2,4
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc3,30
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc4,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc6,86
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc7,18
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc8,11
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesEspagnoles_Fc9,56
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesNeerlandaises_Fc1,16
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesNeerlandaises_Fc2,6
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesNeerlandaises_Fc3,6
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOccidentalesNeerlandaises_Fc5,12
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc12,208
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc14,37
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc19,125
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc21,81
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc22,116
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc26,10
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc27,72
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc5,88
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc8,66
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesAnglaises_Fc9,64
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesEspagnoles_Fc1,62
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc11,40
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc12,44
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc13,16
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc15,31
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc16,24
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc17,52
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc18,19
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc2,128
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc3,34
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc4,52
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc5,44
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc7,44
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc8,17
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_IndesOrientalesNeerlandaises_Fc9,38
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieDeuxsiciles_Fc1,37
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieDeuxsiciles_Fc3,28
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieDeuxsiciles_Fc4,26
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieDeuxsiciles_Fc5,28
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieDeuxsiciles_Fc6,37
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieDeuxsiciles_Fc7,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieEtatsRomains_Fc1,51
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieEtatsRomains_Fc2,35
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieEtatsRomains_Fc3,70
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieEtatsRomains_Fc4,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieEtatsRomains_Fc6,15
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieEtatsRomains_Fc8,17
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieEtatsSardes_Fc7,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieEtatsSardes_Fc9,22
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieToscane_Fc1,79
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieToscane_Fc10,51
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieToscane_Fc2,44
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieToscane_Fc4,40
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieToscane_Fc6,40
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieToscane_Fc7,50
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_ItalieToscane_Fc9,42
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc10,70
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc11,72
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc13,45
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc19,15
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc2,14
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc20,16
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc21,18
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc6,143
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_Italie_Fc8,66
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_LaPlata_Fc11,60
AnnalesDuCommerceExterieurFaitsCommerciaux3eSerieAvisDivers_LaPlata_Fc9,108
