RICname,wikidata
Aden,http://www.wikidata.org/entity/Q131694
Afghanistan,http://www.wikidata.org/entity/Q889
Alaska,http://www.wikidata.org/entity/Q797
Albania,http://www.wikidata.org/entity/Q222
Aleppo,http://www.wikidata.org/entity/Q41183
Algeria,http://www.wikidata.org/entity/Q262
American Samoa,http://www.wikidata.org/entity/Q16641
Ancona,http://www.wikidata.org/entity/Q3415
Andaman and Nicobar Is.,http://www.wikidata.org/entity/Q40888
Andorra,http://www.wikidata.org/entity/Q228
Angola,http://www.wikidata.org/entity/Q916
Anjouan,http://www.wikidata.org/entity/Q231324
Antigua and Barbuda,http://www.wikidata.org/entity/Q781
Argentina,http://www.wikidata.org/entity/Q414
Armenia,http://www.wikidata.org/entity/Q399
Ascension I.,http://www.wikidata.org/entity/Q46197
Ashmore and Cartier Is,http://www.wikidata.org/entity/Q133888
Australia,http://www.wikidata.org/entity/Q408
Austria,http://www.wikidata.org/entity/Q40
Austria-Hungary,http://www.wikidata.org/entity/Q28513
Baden,https://www.wikidata.org/wiki/Q6877935
Bahamas,http://www.wikidata.org/entity/Q778
Bahrain,http://www.wikidata.org/entity/Q398
Bali,http://www.wikidata.org/entity/Q4648
Barbados,http://www.wikidata.org/entity/Q244
Bavaria,http://www.wikidata.org/entity/Q980
Belgium,http://www.wikidata.org/entity/Q31
Belize (British Honduras),https://www.wikidata.org/wiki/Q242
Benin (Dahomey),https://www.wikidata.org/wiki/Q962
Berbice,http://www.wikidata.org/entity/Q675322
Bermuda,http://www.wikidata.org/entity/Q23635
Bokhara,https://www.wikidata.org/wiki/Q746558
Bolivia,http://www.wikidata.org/entity/Q750
Bosnia,https://www.wikidata.org/wiki/Q188736
Bosnia-Herzegovina,http://www.wikidata.org/entity/Q225
Botswana (Bechuanaland),https://www.wikidata.org/wiki/Q963
Brazil,http://www.wikidata.org/entity/Q155
Bremen,https://www.wikidata.org/wiki/Q1209
British Columbia,http://www.wikidata.org/entity/Q1974
Brunei,http://www.wikidata.org/entity/Q921
Brunswick,https://www.wikidata.org/wiki/Q326029
Buenos Aires,http://www.wikidata.org/entity/Q1486
Bulgaria,http://www.wikidata.org/entity/Q219
Burma (Myanmar),https://www.wikidata.org/wiki/Q836
Canada,http://www.wikidata.org/entity/Q16
Canary Is.,http://www.wikidata.org/entity/Q5813
Cape Colony,http://www.wikidata.org/entity/Q370736
Cape Verde,http://www.wikidata.org/entity/Q1011
Caroline Is.,https://www.wikidata.org/wiki/Q822151
Cayman Is.,http://www.wikidata.org/entity/Q5785
Ceuta,http://www.wikidata.org/entity/Q5823
Chafarinas,http://www.wikidata.org/entity/Q130574
Chile,http://www.wikidata.org/entity/Q298
China (People's Republic of China),https://www.wikidata.org/wiki/Q148
Christmas I.,https://www.wikidata.org/wiki/Q31063
Clipperton I.,https://www.wikidata.org/wiki/Q161258
Cocos (Keeling) Is.,https://www.wikidata.org/wiki/Q36004
Colombia (Gran Colombia),https://www.wikidata.org/wiki/Q739
Cook Is.,https://www.wikidata.org/wiki/Q26988
Costa Rica,http://www.wikidata.org/entity/Q800
Cracow,http://www.wikidata.org/entity/Q31487
Crete,http://www.wikidata.org/entity/Q34374
Crozet Is.,https://www.wikidata.org/wiki/Q201698
Cuba,http://www.wikidata.org/entity/Q241
Curacao,http://www.wikidata.org/entity/Q25279
Cyprus,http://www.wikidata.org/entity/Q229
Czechoslovakia,http://www.wikidata.org/entity/Q33946
Danzig,http://www.wikidata.org/entity/Q1792
Dardanelles-Istanbul,https://www.wikidata.org/wiki/Q406
Denmark,http://www.wikidata.org/entity/Q35
Dodecanese Is. (Aegean Is.),https://www.wikidata.org/wiki/Q131555
Dominica,http://www.wikidata.org/entity/Q784
Dominican Republic (Santo Domingo),https://www.wikidata.org/wiki/Q786
Ecuador,http://www.wikidata.org/entity/Q736
El Salvador,http://www.wikidata.org/entity/Q792
Eritrea,http://www.wikidata.org/entity/Q986
Estonia,http://www.wikidata.org/entity/Q191
Ethiopia (Abyssinia),https://www.wikidata.org/wiki/Q115
Faeroe Is.,https://www.wikidata.org/wiki/Q4628
Falkland Is.,https://www.wikidata.org/wiki/Q9648
Fanning I.,https://www.wikidata.org/wiki/Q127335
Far Eastern Republic,http://www.wikidata.org/entity/Q61292
Fernando Po (Bioko),https://www.wikidata.org/wiki/Q205022
Fiji,http://www.wikidata.org/entity/Q712
Finland,http://www.wikidata.org/entity/Q33
Fiume,http://www.wikidata.org/entity/Q1647
France,http://www.wikidata.org/entity/Q142
Frankfurt,http://www.wikidata.org/entity/Q1794
French Guyana,https://www.wikidata.org/wiki/Q3769
French India,http://www.wikidata.org/entity/Q646374
French West Africa,http://www.wikidata.org/entity/Q210682
Gabon,http://www.wikidata.org/entity/Q1000
Gambia,http://www.wikidata.org/entity/Q1005
Georgia,http://www.wikidata.org/entity/Q230
Germany,http://www.wikidata.org/entity/Q183
Germany (Zollverein),https://www.wikidata.org/wiki/Q155707
Ghana (Gold Coast),https://www.wikidata.org/wiki/Q117
Gibraltar,http://www.wikidata.org/entity/Q1410
Goree,http://www.wikidata.org/entity/Q244347
Greece,http://www.wikidata.org/entity/Q41
Greenland,http://www.wikidata.org/entity/Q223
Grenada,http://www.wikidata.org/entity/Q769
Guadeloupe,http://www.wikidata.org/entity/Q17012
Guam,http://www.wikidata.org/entity/Q16635
Guatemala,http://www.wikidata.org/entity/Q774
Guyana (Br. Guiana),https://www.wikidata.org/wiki/Q734
Haiti,http://www.wikidata.org/entity/Q790
Hamburg,http://www.wikidata.org/entity/Q1055
Hanover,http://www.wikidata.org/entity/Q1715
Hawaii,http://www.wikidata.org/entity/Q782
Heligoland,http://www.wikidata.org/entity/Q3038
Holstein,http://www.wikidata.org/entity/Q111224
Honduras,http://www.wikidata.org/entity/Q783
Hong Kong,http://www.wikidata.org/entity/Q8646
Hungary,http://www.wikidata.org/entity/Q28
Iceland,http://www.wikidata.org/entity/Q189
India,http://www.wikidata.org/entity/Q668
Ionian Is.,https://www.wikidata.org/wiki/Q170295
Iran (Persia),https://www.wikidata.org/wiki/Q794
Iraq (Mesopotamia),https://www.wikidata.org/wiki/Q796
Ireland,http://www.wikidata.org/entity/Q27
Israel,http://www.wikidata.org/entity/Q801
Italian Somaliland,https://www.wikidata.org/wiki/Q319984
Italy,http://www.wikidata.org/entity/Q38
Ivory Coast,http://www.wikidata.org/entity/Q1008
Jamaica,http://www.wikidata.org/entity/Q766
Japan,http://www.wikidata.org/entity/Q17
Johore,https://www.wikidata.org/wiki/Q183032
Kamerun,http://www.wikidata.org/entity/Q668294
Kampuchea (Cambodia),https://www.wikidata.org/wiki/Q424
Kedah,http://www.wikidata.org/entity/Q188947
Kelantan,http://www.wikidata.org/entity/Q185944
Kerguelen Is.,https://www.wikidata.org/wiki/Q46772
Khiva,http://www.wikidata.org/entity/Q486195
Kiribati,http://www.wikidata.org/entity/Q710
Kokand,http://www.wikidata.org/entity/Q489890
Kuwait,http://www.wikidata.org/entity/Q817
Kyrgyzstan,http://www.wikidata.org/entity/Q813
Labuan I.,https://www.wikidata.org/wiki/Q214504
Lagos,http://www.wikidata.org/entity/Q8673
Latvia,http://www.wikidata.org/entity/Q211
Lauenburg,http://www.wikidata.org/entity/Q492380
Lebanon,http://www.wikidata.org/entity/Q822
Leeward Is.,https://www.wikidata.org/wiki/Q1796551
Liberia,http://www.wikidata.org/entity/Q1014
Liechtenstein,http://www.wikidata.org/entity/Q347
Lithuania,http://www.wikidata.org/entity/Q37
Lombok,http://www.wikidata.org/entity/Q7564
LÃ¼beck,http://www.wikidata.org/entity/Q2843
Lucca,http://www.wikidata.org/entity/Q13373
Luxemburg,http://www.wikidata.org/entity/Q32
Macao,http://www.wikidata.org/entity/Q14773
Macquarie I.,https://www.wikidata.org/wiki/Q29971
Malacca,http://www.wikidata.org/entity/Q185221
Malagasy Republic (Madagascar),https://www.wikidata.org/wiki/Q1019
Malaysia (Malaya),https://www.wikidata.org/wiki/Q833
Malden I.,https://www.wikidata.org/wiki/Q532590
Maldive Islands,http://www.wikidata.org/entity/Q17044696
Malta,http://www.wikidata.org/entity/Q233
Manchukuo,http://www.wikidata.org/entity/Q30623
Manchuria,http://www.wikidata.org/entity/Q81126
Mariana Is.,https://www.wikidata.org/wiki/Q153732
Marshall Is.,https://www.wikidata.org/wiki/Q709
Martinique,http://www.wikidata.org/entity/Q17054
Mauritius,http://www.wikidata.org/entity/Q1027
Mayotte,http://www.wikidata.org/entity/Q17063
Mecklenburg Schwerin,http://www.wikidata.org/entity/Q158445
Melilla,http://www.wikidata.org/entity/Q5831
Memel,http://www.wikidata.org/entity/Q776965
Mexico,http://www.wikidata.org/entity/Q96
Moldavia,http://www.wikidata.org/entity/Q217
Mombassa,https://www.wikidata.org/wiki/Q1112885
Monaco,http://www.wikidata.org/entity/Q235
Mongolia,http://www.wikidata.org/entity/Q711
Montenegro,http://www.wikidata.org/entity/Q236
Montserrat,http://www.wikidata.org/entity/Q13353
Moresnet,http://www.wikidata.org/entity/Q151938
Morocco,http://www.wikidata.org/entity/Q1028
Mozambique,http://www.wikidata.org/entity/Q1029
Natal,https://www.wikidata.org/wiki/Q1301901
Nauru,http://www.wikidata.org/entity/Q697
Negri Sembilan,http://www.wikidata.org/entity/Q213893
Netherlands,http://www.wikidata.org/entity/Q55
Netherlands Antilles,http://www.wikidata.org/entity/Q25227
Nevis,http://www.wikidata.org/entity/Q207794
New Brunswick,http://www.wikidata.org/entity/Q1965
New Hebrides,http://www.wikidata.org/entity/Q752431
New South Wales,http://www.wikidata.org/entity/Q3224
New Zealand,http://www.wikidata.org/entity/Q664
Newfoundland,http://www.wikidata.org/entity/Q2003
Nicaragua,http://www.wikidata.org/entity/Q811
Niger,http://www.wikidata.org/entity/Q1032
Nigeria,http://www.wikidata.org/entity/Q1033
Niue I.,https://www.wikidata.org/wiki/Q34020
Norfolk I.,https://www.wikidata.org/wiki/Q31057
Northern Nigeria,https://www.wikidata.org/wiki/Q585408
Norway,http://www.wikidata.org/entity/Q20
Nossi Be,http://www.wikidata.org/entity/Q1330558
Nova Scotia,http://www.wikidata.org/entity/Q1952
Odessa,http://www.wikidata.org/entity/Q1874
Oldenburg,https://www.wikidata.org/wiki/Q693669
Ontario (Upper Canada),https://www.wikidata.org/wiki/Q1904
Oregon Country,http://www.wikidata.org/entity/Q388164
Pahang,http://www.wikidata.org/entity/Q191346
Palau,http://www.wikidata.org/entity/Q695
Palembang,http://www.wikidata.org/entity/Q8131
Palestine,http://www.wikidata.org/entity/Q219060
Panama,http://www.wikidata.org/entity/Q804
Panama Canal Zone,http://www.wikidata.org/entity/Q498979
Papal States,https://www.wikidata.org/wiki/Q237
Papua,http://www.wikidata.org/entity/Q5095
Papua New Guinea,http://www.wikidata.org/entity/Q691
Paraguay,http://www.wikidata.org/entity/Q733
Parma,http://www.wikidata.org/entity/Q2683
Penang,http://www.wikidata.org/entity/Q188096
Penon de Velez,http://www.wikidata.org/entity/Q191146
Perak,http://www.wikidata.org/entity/Q188953
Perim I.,https://www.wikidata.org/wiki/Q1160017
Peru,http://www.wikidata.org/entity/Q419
Philippines,http://www.wikidata.org/entity/Q928
Pitcairn Is.,https://www.wikidata.org/wiki/Q35672
Poland,http://www.wikidata.org/entity/Q36
Porto Novo,http://www.wikidata.org/entity/Q3799
Portugal,http://www.wikidata.org/entity/Q45
Prince Edward Is.,https://www.wikidata.org/wiki/Q1979
Prussia,http://www.wikidata.org/entity/Q38872
Puerto Rico,http://www.wikidata.org/entity/Q1183
Quebec (Lower Canada),https://www.wikidata.org/wiki/Q176
Queensland,http://www.wikidata.org/entity/Q36074
Republic of China (Taiwan) (Formosa),https://www.wikidata.org/wiki/Q865
Republic of St. Mark,http://www.wikidata.org/entity/Q4948
Reunion,http://www.wikidata.org/entity/Q17070
Rhineland,https://www.wikidata.org/wiki/Q152243
Riau,http://www.wikidata.org/entity/Q2175
Romania,http://www.wikidata.org/entity/Q218
Rotterdam,http://www.wikidata.org/entity/Q34370
Rupert's Land,http://www.wikidata.org/entity/Q738395
Russia/USSR,https://www.wikidata.org/wiki/Q159
Saar,https://www.wikidata.org/wiki/Q1201
Sabah (North Borneo),https://www.wikidata.org/wiki/Q179029
Sambas,http://www.wikidata.org/entity/Q14164
Samoa,http://www.wikidata.org/entity/Q683
Samos,http://www.wikidata.org/entity/Q156882
Sao Tome-Principe,https://www.wikidata.org/wiki/Q1039
Sarawak,http://www.wikidata.org/entity/Q170462
Saxony,http://www.wikidata.org/entity/Q1202
Schleswig,https://www.wikidata.org/wiki/Q26167
Senegal,http://www.wikidata.org/entity/Q1041
Oman (Muscat and Oman),https://www.wikidata.org/wiki/Q842
Seychelles,http://www.wikidata.org/entity/Q1042
Sicily,https://www.wikidata.org/wiki/Q1460
Sierra Leone,http://www.wikidata.org/entity/Q1044
Sind,http://www.wikidata.org/entity/Q37211
Singapore,http://www.wikidata.org/entity/Q334
Society Is.,https://www.wikidata.org/wiki/Q118920
Socotra I.,https://www.wikidata.org/wiki/Q2860218
Solomon Islands,http://www.wikidata.org/entity/Q685
Somalia,https://www.wikidata.org/wiki/Q1045
South Africa,http://www.wikidata.org/entity/Q258
South Australia,http://www.wikidata.org/entity/Q35715
Southern Nigeria,https://www.wikidata.org/wiki/Q2062030
Spain,http://www.wikidata.org/entity/Q29
Spanish Morocco,https://www.wikidata.org/wiki/Q457242
Sri Lanka (Ceylon),https://www.wikidata.org/wiki/Q854
St. Barthelemy,http://www.wikidata.org/entity/Q25362
St. Helena,https://www.wikidata.org/wiki/Q34497
St. Kitts,http://www.wikidata.org/entity/Q204989
St. Kitts-Nevis,https://www.wikidata.org/wiki/Q763
St. Lucia,http://www.wikidata.org/entity/Q760
St. Pierre and Miquelon,http://www.wikidata.org/entity/Q34617
St. Vincent and the Grenadines,http://www.wikidata.org/entity/Q757
Suez Canal Zone,https://www.wikidata.org/wiki/Q899
Surinam,http://www.wikidata.org/entity/Q730
Swaziland,http://www.wikidata.org/entity/Q1050
Sweden,http://www.wikidata.org/entity/Q34
Switzerland,http://www.wikidata.org/entity/Q39
Syria,http://www.wikidata.org/entity/Q858
Tahiti,http://www.wikidata.org/entity/Q42000
Tangier,http://www.wikidata.org/entity/Q126148
Tasmania,http://www.wikidata.org/entity/Q34366
Tetuan,http://www.wikidata.org/entity/Q185157
Texas,http://www.wikidata.org/entity/Q1439
Thailand (Siam),https://www.wikidata.org/wiki/Q869
Tobago,http://www.wikidata.org/entity/Q185111
Tokelau Is.,https://www.wikidata.org/wiki/Q36823
Tonga,http://www.wikidata.org/entity/Q678
Tonkin,http://www.wikidata.org/entity/Q1858
Transvaal,https://www.wikidata.org/wiki/Q190959
Trengganu,http://www.wikidata.org/entity/Q189701
Trieste,http://www.wikidata.org/entity/Q546
Trinidad and Tobago,http://www.wikidata.org/entity/Q754
Tripolitania,http://www.wikidata.org/entity/Q192435
Tunisia,http://www.wikidata.org/entity/Q948
Turkey,http://www.wikidata.org/entity/Q43
Turks and Caicos Is.,https://www.wikidata.org/wiki/Q18221
Tuscany,http://www.wikidata.org/entity/Q1273
Uganda,http://www.wikidata.org/entity/Q1036
Ukraine,http://www.wikidata.org/entity/Q212
United Kingdom,http://www.wikidata.org/entity/Q145
United States of America,http://www.wikidata.org/entity/Q30
Uruguay,http://www.wikidata.org/entity/Q77
Uzbekistan,http://www.wikidata.org/entity/Q265
Vancouver,http://www.wikidata.org/entity/Q24639
Venezuela,http://www.wikidata.org/entity/Q717
Victoria,http://www.wikidata.org/entity/Q36687
Vietnam,http://www.wikidata.org/entity/Q881
Wallachia,http://www.wikidata.org/entity/Q171393
Wallis and Futuna Is.,https://www.wikidata.org/wiki/Q35555
Walvis Bay,http://www.wikidata.org/entity/Q220843
Western Anatolia,https://www.wikidata.org/wiki/Q51614
Western Australia,http://www.wikidata.org/entity/Q3206
Western Samoa,http://www.wikidata.org/entity/Q683
Windward Is.,https://www.wikidata.org/wiki/Q2660774
Yugoslavia/Serbia,https://www.wikidata.org/wiki/Q36704
Zaire (Kinshasa) (Belgian Congo),https://www.wikidata.org/wiki/Q974
Zanzibar,http://www.wikidata.org/entity/Q1774
Serbia,http://www.wikidata.org/entity/Q403
Annam,http://www.wikidata.org/entity/Q10828323
Aruba,http://www.wikidata.org/entity/Q21203
Assab,http://www.wikidata.org/entity/Q738496
Assam,http://www.wikidata.org/entity/Q1164
Baluchistan (Kalat),https://www.wikidata.org/wiki/Q2336399
Bhutan,http://www.wikidata.org/entity/Q917
Bonaire,http://www.wikidata.org/entity/Q25396
Cape Breton I.,https://www.wikidata.org/wiki/Q188489
Comoros,http://www.wikidata.org/entity/Q970
Corfu,http://www.wikidata.org/entity/Q121378
Croatia,http://www.wikidata.org/entity/Q224
Cyrenaica,http://www.wikidata.org/entity/Q165198
Demerara and Essequibo,https://www.wikidata.org/wiki/Q5255160
Dutch Windward Is.,https://www.wikidata.org/wiki/Q3277444
Federation of South Arabia,http://www.wikidata.org/entity/Q834486
French Polynesia,http://www.wikidata.org/entity/Q30971
Milan,http://www.wikidata.org/entity/Q490
Modena,https://www.wikidata.org/wiki/Q252580
Nepal,http://www.wikidata.org/entity/Q837
Obock,https://www.wikidata.org/wiki/Q844929
Pakistan,http://www.wikidata.org/entity/Q843
Perlis,http://www.wikidata.org/entity/Q213467
Saxe Altenburg,http://www.wikidata.org/entity/Q158151
Saxe Coburg and Gotha,http://www.wikidata.org/entity/Q3462133
Saxe Weimar,http://www.wikidata.org/entity/Q315667
Sint Eustatius,http://www.wikidata.org/entity/Q26180
Svalbard Is.,https://www.wikidata.org/wiki/Q25231
Tadjoura,http://www.wikidata.org/entity/Q820972
Vladivostok,https://www.wikidata.org/wiki/Q959
Macedonia Former Yugoslav Republic of,https://www.wikidata.org/wiki/Q240592
Kuria Muria Is.,https://www.wikidata.org/wiki/Q521176
Alhucemas,https://www.wikidata.org/wiki/Q1184963
United States of Central America,http://www.wikidata.org/entity/Q190025
Ross Dependency,http://www.wikidata.org/entity/Q203073
Nicobar Is.,https://www.wikidata.org/wiki/Q157286
